Pauli Operators,Coefficient,Expectation Values
IIIIIIII,1.528021059,1
 IIIIIIIZ,-0.272215257,-0.981762299
 IIIIIYZY,0.088122943,0.00481971
 IIIIIXZX,0.088122943,0.004774325
 IIIIIIZI,-0.405168898,0.985583925
 IIIIYZYI,-0.052063681,-0.008404339
 IIIIXZXI,-0.052063681,0.000318575
 IIIIIZII,-0.689359603,0.999980925
 IIIIZIII,-1.042222589,0.996118121
 IIIZIIII,-0.272215257,-0.981775407
 IYZYIIII,0.088122943,0.000738778
 IXZXIIII,0.088122943,0.000742487
 IIZIIIII,-0.405168898,0.989805272
 YZYIIIII,-0.052063681,-0.012260173
 XZXIIIII,-0.052063681,-0.000854413
 IZIIIIII,-0.689359603,0.99999114
 ZIIIIIII,-1.042222589,0.991886348
 IIIIIIZZ,0.088522062,-0.996097121
 IIIIYZYZ,0.016033306,0.000318636
 IIIIXZXZ,0.016033306,-0.00840457
 IIIIIYIY,-0.017356001,0.004756379
 IIIIIXIX,-0.017356001,0.004837816
 IIIIYXXY,-0.012970529,-0.0000104
 IIIIYYYY,-0.015318666,-0.00000386
 IIIIXXYY,-0.002348137,-0.0000109
 IIIIYYXX,-0.002348137,0.0000109
 IIIIXXXX,-0.015318666,0.00000387
 IIIIXYYX,-0.012970529,0.0000103
 IIIIIZIZ,0.105719993,-0.98177397
 IIIIZIIZ,0.131799345,-0.985568804
 IIIIZYZY,-0.019831905,0.004836889
 IIIIZXZX,-0.019831905,0.004757515
 IIIZIIIZ,0.163024616,0.999977942
 IIIZIYZY,-0.041977055,-0.004773064
 IIIZIXZX,-0.041977055,-0.004820723
 IIYYIIYY,0.01986208,-0.142348599
 IIXXIIYY,0.01986208,-0.141281696
 IIYYIIXX,0.01986208,-0.141807693
 IIXXIIXX,0.01986208,-0.141821683
 IIYYYZZY,-0.019808855,-0.000163074
 IIXXYZZY,-0.019808855,-0.0000975
 IIYYXZZX,-0.019808855,0.001022774
 IIXXXZZX,-0.019808855,-0.0000458
 IYZYIIIZ,-0.041977055,-0.000743405
 IXZXIIIZ,-0.041977055,-0.000737972
 IYZYIYZY,0.02740727,0.0000128
 IXZXIYZY,0.02740727,0.0000123
 IYZYIXZX,0.02740727,0.0000125
 IXZXIXZX,0.02740727,0.0000126
 YZZYIIYY,-0.019808855,0.091299375
 XZZXIIYY,-0.019808855,0.092112565
 YZZYIIXX,-0.019808855,0.090919257
 XZZXIIXX,-0.019808855,0.091729934
 YZZYYZZY,0.034557696,-0.087511512
 XZZXYZZY,0.034557696,-0.086633904
 YZZYXZZX,0.034557696,-0.087033129
 XZZXXZZX,0.034557696,-0.08791507
 IIZIIIIZ,0.108384141,-0.991868194
 IIZIIYZY,-0.012405452,0.004774816
 IIZIIXZX,-0.012405452,0.004819175
 IYYIIIYY,-0.004950549,-0.000239913
 IXXIIIYY,-0.004950549,0.00012934
 IYYIIIXX,-0.004950549,-0.000238196
 IXXIIIXX,-0.004950549,0.000130916
 IYYIYZZY,-0.005280925,-0.000000461
 IXXIYZZY,-0.005280925,-0.00000125
 IYYIXZZX,-0.005280925,0.00000179
 IXXIXZZX,-0.005280925,-0.000000353
 YZYIIIIZ,0.035842161,-0.000854544
 XZXIIIIZ,0.035842161,-0.012260104
 YZYIIYZY,-0.018251454,-0.0000564
 XZXIIYZY,-0.018251454,-0.00000138
 YZYIIXZX,-0.018251454,0.00000138
 XZXIIXZX,-0.018251454,0.0000564
 IZIIIIIZ,0.133127263,-0.981754175
 IZIIIYZY,-0.029953573,0.004820823
 IZIIIXZX,-0.029953573,0.004773217
 YYIIIIYY,-0.020599591,0.000163441
 XXIIIIYY,-0.020599591,-0.0000952
 YYIIIIXX,-0.020599591,0.000163726
 XXIIIIXX,-0.020599591,-0.0000942
 YYIIYZZY,0.030721244,-0.000145498
 XXIIYZZY,0.030721244,0.0000813
 YYIIXZZX,0.030721244,-0.00014734
 XXIIXZZX,0.030721244,0.0000808
 ZIIIIIIZ,0.166357041,-0.989790686
 ZIIIIYZY,-0.050553149,0.004818047
 ZIIIIXZX,-0.050553149,0.004775973
 IIIIIZZI,0.086215482,0.985565427
 IIIIYIYI,0.023949816,-0.008404503
 IIIIXIXI,0.023949816,0.000318586
 IIIIZIZI,0.093776636,0.981777227
 IIIZIIZI,0.108384141,-0.996110736
 IIIZYZYI,0.035842161,0.000318258
 IIIZXZXI,0.035842161,-0.008404585
 IIYYIYYI,-0.004950549,-0.0000302
 IIXXIYYI,-0.004950549,-0.0000298
 IIYYIXXI,-0.004950549,-0.00065368
 IIXXIXXI,-0.004950549,-0.00065517
 IYZYIIZI,-0.012405452,0.000752721
 IXZXIIZI,-0.012405452,0.000728422
 IYZYYZYI,-0.018251454,-0.0000126
 IXZXYZYI,-0.018251454,0.00000966
 IYZYXZXI,-0.018251454,-0.00000924
 IXZXXZXI,-0.018251454,0.0000122
 YZZYIYYI,-0.005280925,0.0000196
 XZZXIYYI,-0.005280925,0.0000198
 YZZYIXXI,-0.005280925,0.000422185
 XZZXIXXI,-0.005280925,0.000424578
 IIZIIIZI,0.096381174,0.995730837
 IIZIYZYI,0.013600194,-0.008347381
 IIZIXZXI,0.013600194,0.000312478
 IYYIIYYI,0.009021583,-0.000000401
 IXXIIYYI,0.009021583,0.00000294
 IYYIIXXI,0.009021583,0.00000129
 IXXIIXXI,0.009021583,-0.000000539
 YZYIIIZI,0.013600194,0.000860403
 XZXIIIZI,0.013600194,0.012220874
 YZYIYZYI,0.016783773,0.012414794
 XZXIYZYI,0.016783773,0.000093
 YZYIXZXI,0.016783773,0.0000928
 XZXIXZXI,0.016783773,0.012414492
 IZIIIIZI,0.095237065,0.985576186
 IZIIYZYI,0.024466759,-0.008404395
 IZIIXZXI,0.024466759,0.000318493
 YYIIIYYI,-0.000516942,-0.000000114
 XXIIIYYI,-0.000516942,0.000000993
 YYIIIXXI,-0.000516942,0.00000226
 XXIIIXXI,-0.000516942,-0.000000189
 ZIIIIIZI,0.110560409,0.985962571
 ZIIIYZYI,0.041922304,-0.000312279
 ZIIIXZXI,0.041922304,0.008347693
 IIIIZZII,0.106563528,0.99609912
 IIIZIZII,0.133127263,-0.981756748
 IIYYYYII,-0.020599591,0.000000255
 IIXXYYII,-0.020599591,-0.0000000274
 IIYYXXII,-0.020599591,0.000000371
 IIXXXXII,-0.020599591,0.0000019
 IYZYIZII,-0.029953573,0.000738416
 IXZXIZII,-0.029953573,0.000742707
 YZZYYYII,0.030721244,-0.0000183
 XZZXYYII,0.030721244,-0.0000184
 YZZYXXII,0.030721244,-0.000405829
 XZZXXXII,0.030721244,-0.000401283
 IIZIIZII,0.095237065,0.989786392
 IYYIYYII,-0.000516942,-1.74E-11
 IXXIYYII,-0.000516942,-0.0000000532
 IYYIXXII,-0.000516942,0.0000000406
 IXXIXXII,-0.000516942,-0.0000000099
 YZYIIZII,0.024466759,-0.012260021
 XZXIIZII,0.024466759,-0.000854401
 IZIIIZII,0.115864043,0.999978916
 YYIIYYII,0.031606044,0.0000000443
 XXIIYYII,0.031606044,-0.000000716
 YYIIXXII,0.031606044,-0.00000175
 XXIIXXII,0.031606044,-0.0000000205
 ZIIIIZII,0.138169572,0.991867433
 IIIZZIII,0.166357041,-0.985581036
 IYZYZIII,-0.050553149,0.000728641
 IXZXZIII,-0.050553149,0.000752513
 IIZIZIII,0.110560409,0.985962855
 YZYIZIII,0.041922304,-0.012221917
 XZXIZIII,0.041922304,-0.000861052
 IZIIZIII,0.138169572,0.996109502
 ZIIIZIII,0.185776731,0.995731137
 IIZZIIII,0.088522062,-0.991881815
 YZYZIIII,0.016033306,-0.000854441
 XZXZIIII,0.016033306,-0.012259856
 IYIYIIII,-0.017356001,0.000765197
 IXIXIIII,-0.017356001,0.000716042
 YXXYIIII,-0.012970529,0.00000553
 YYYYIIII,-0.015318666,-0.0000206
 XXYYIIII,-0.002348137,0.00000786
 YYXXIIII,-0.002348137,-0.00000806
 XXXXIIII,-0.015318666,0.0000204
 XYYXIIII,-0.012970529,-0.00000614
 IZIZIIII,0.105719993,-0.981774138
 ZIIZIIII,0.131799345,-0.989802126
 ZYZYIIII,-0.019831905,0.000716966
 ZXZXIIII,-0.019831905,0.000764621
 IZZIIIII,0.086215482,0.989796541
 YIYIIIII,0.023949816,-0.012260282
 XIXIIIII,0.023949816,-0.00085442
 ZIZIIIII,0.093776636,0.981775181
 ZZIIIIII,0.106563528,0.991878998
